"Title,URL,""Downloaded (date)"",""Downloaded (UTC)"",Views,Overall,""Overall Issues"""
"Luftveisinfeksjoner, nedre - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-sykehus/luftveisinfeksjoner-nedre,""6 Mar 2026"",23:08:24,3758,74.4,193"
"Last ned folkehelseprofil eller oppvekstprofil - Helsedirektoratet,https://www.helsedirektoratet.no/forebygging-diagnose-og-behandling/forebygging-og-levevaner/folkehelsestatistikk-og-profiler/last-ned-folkehelseprofil-eller-oppvekstprofil,""7 Mar 2026"",10:18:58,3650,83,45"
"Infeksjoner i nedre luftveier - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-primaerhelsetjenesten/infeksjoner-i-nedre-luftveier,""7 Mar 2026"",00:58:38,3478,80.5,250"
"Midler som kan påvirke kjøreevnen (§§ 35–37) - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/forerkortveileder/midler-som-kan-pavirke-kjoreevnen-35-37,""6 Mar 2026"",23:35:41,3236,78.2,209"
"Sykmelderveileder - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/sykmelderveileder,""6 Mar 2026"",21:53:22,3154,83.4,92"
"Forebygging, diagnose og behandling - Helsedirektoratet,https://www.helsedirektoratet.no/forebygging-diagnose-og-behandling,""6 Mar 2026"",21:56:45,2962,84.2,79"
"Urinveisinfeksjoner - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-sykehus/urinveisinfeksjoner,""6 Mar 2026"",22:39:42,2937,80.4,286"
"Hud- og bløtdelsinfeksjoner - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-primaerhelsetjenesten/hud-og-blotdelsinfeksjoner,""7 Mar 2026"",00:39:21,2929,83.7,207"
"Sepsis - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-sykehus/sepsis,""6 Mar 2026"",21:46:28,2891,79.6,231"
"Tilskudd og finansiering - Helsedirektoratet,https://www.helsedirektoratet.no/tilskudd-og-finansiering,""6 Mar 2026"",22:08:29,2738,87.6,40"
"Skjermråd for barn og unge - Helsedirektoratet,https://www.helsedirektoratet.no/faglige-rad/skjermbruk-blant-barn-unge-og-foresatte/barn-og-unge,""6 Mar 2026"",23:19:40,2677,83.8,238"
"Pneumoni, samfunnservervet - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-sykehus/luftveisinfeksjoner-nedre/pneumoni-samfunnservervet,""7 Mar 2026"",02:01:45,2604,72,232"
"Spesialistgodkjenning for leger - Helsedirektoratet,https://www.helsedirektoratet.no/autorisasjon-og-spesialistutdanning/spesialistutdanning-og-godkjenning-for-leger/spesialistgodkjenning-for-leger,""7 Mar 2026"",06:40:51,2393,82,69"
"Rekrutteringsprogram for personer utenfor arbeid og utdanning - Helsedirektoratet,https://www.helsedirektoratet.no/tilskudd-og-finansiering/tilskudd/rekrutteringsprogram-for-personer-utenfor-arbeid-og-utdanning,""7 Mar 2026"",03:11:21,2293,76.7,88"
"Helsestasjon 0–5 år - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/helsestasjons-og-skolehelsetjenesten/helsestasjon-05-ar,""6 Mar 2026"",23:52:27,2285,81.9,280"
"Tilskudd innvilget - Helsedirektoratet,https://www.helsedirektoratet.no/statistikk/tilskudd-innvilget,""6 Mar 2026"",21:49:57,2191,89.2,47"
"Helsestasjon, skolehelsetjeneste og helsestasjon for ungdom - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/helsestasjons-og-skolehelsetjenesten,""6 Mar 2026"",22:24:22,2130,77.5,101"
"Pakkeforløp for kreft - Helsedirektoratet,https://www.helsedirektoratet.no/horinger/pakkeforlop-for-kreft,""6 Mar 2026"",21:52:10,2081,81.5,193"
"Folkehelsestatistikk og profiler - Helsedirektoratet,https://www.helsedirektoratet.no/forebygging-diagnose-og-behandling/forebygging-og-levevaner/folkehelsestatistikk-og-profiler,""7 Mar 2026"",02:41:46,2037,81.9,72"
"Hud- og bløtdelsinfeksjoner - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-sykehus/hud-og-blotdelsinfeksjoner,""6 Mar 2026"",23:14:40,2001,80.5,220"
"Spesialistutdanning og -godkjenning for leger - Helsedirektoratet,https://www.helsedirektoratet.no/autorisasjon-og-spesialistutdanning/spesialistutdanning-og-godkjenning-for-leger,""7 Mar 2026"",00:57:36,1994,76.4,70"
"Kroppsmasseindeks (KMI) og midjemål - Helsedirektoratet,https://www.helsedirektoratet.no/forebygging-diagnose-og-behandling/diagnose-og-behandling/overvekt-og-fedme/kmi-kalkulator,""7 Mar 2026"",02:19:08,1978,82.2,81"
"Syn (§§ 9–13) - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/forerkortveileder/syn-9-13,""6 Mar 2026"",21:42:59,1970,81.9,164"
"Infeksjoner i abdomen - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-sykehus/infeksjoner-i-abdomen,""6 Mar 2026"",22:51:52,1955,80.2,225"
"Kosthold og ernæring - Helsedirektoratet,https://www.helsedirektoratet.no/forebygging-diagnose-og-behandling/forebygging-og-levevaner/kosthold-og-ernaering,""7 Mar 2026"",09:21:56,1948,81.5,122"
"Kontakt oss - Helsedirektoratet,https://www.helsedirektoratet.no/om-oss/kontakt-oss,""6 Mar 2026"",22:03:50,1869,84.1,79"
"Om Helsedirektoratets normerende produkter - Helsedirektoratet,https://www.helsedirektoratet.no/om-oss/om-helsedirektoratets-normerende-produkter,""7 Mar 2026"",00:13:32,1847,78.6,91"
"Nasjonale handlingsplaner for habilitering og rehabilitering - Helsedirektoratet,https://www.helsedirektoratet.no/horinger/nasjonale-handlingsplaner-for-habilitering-og-rehabilitering,""6 Mar 2026"",23:47:37,1837,77.4,85"
"Førerkort - Helsedirektoratet,https://www.helsedirektoratet.no/lov-og-forskrift/forerkort,""6 Mar 2026"",22:07:39,1800,84.5,54"
"Bestill gratis kondomer - Helsedirektoratet,https://www.helsedirektoratet.no/forebygging-diagnose-og-behandling/forebygging-og-levevaner/seksuell-helse/bestill-gratis-kondomer,""7 Mar 2026"",03:43:20,1732,66.4,88"
"Definisjoner: Førerkortgrupper, kjørevurdering m.v. (§ 1) - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/forerkortveileder/definisjoner-1,""7 Mar 2026"",09:56:38,1727,79.4,113"
"English - Helsedirektoratet,https://www.helsedirektoratet.no/english,""6 Mar 2026"",21:51:37,1651,81.6,73"
"Gode helse- og omsorgstjenester til personer med utviklingshemming - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/gode-helse-og-omsorgstjenester-til-personer-med-utviklingshemming,""7 Mar 2026"",00:25:06,1583,78.7,64"
"Fysisk aktivitet - Helsedirektoratet,https://www.helsedirektoratet.no/forebygging-diagnose-og-behandling/forebygging-og-levevaner/fysisk-aktivitet,""7 Mar 2026"",04:52:20,1567,81.7,85"
"Kostråd og næringsstoffer - Helsedirektoratet,https://www.helsedirektoratet.no/faglige-rad/kostradene-og-naeringsstoffer,""7 Mar 2026"",10:18:25,1519,83.1,59"
"Pårørendeveileder - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/parorendeveileder,""6 Mar 2026"",22:01:46,1469,83.9,77"
"Lov og forskrift - Helsedirektoratet,https://www.helsedirektoratet.no/lov-og-forskrift,""6 Mar 2026"",21:43:49,1466,88,52"
"Skolehelsetjenesten 5–20 år - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/helsestasjons-og-skolehelsetjenesten/skolehelsetjenesten-520-ar,""7 Mar 2026"",00:43:51,1440,84.1,62"
"Søknad og frister - Helsedirektoratet,https://www.helsedirektoratet.no/autorisasjon-og-spesialistutdanning/spesialistutdanning-og-godkjenning-for-leger/lis1/soknad-og-frister,""7 Mar 2026"",04:50:37,1370,81,121"
"Tuberkulose: Land med høy og særlig høy forekomst av tuberkulose - Helsedirektoratet,https://www.helsedirektoratet.no/forebygging-diagnose-og-behandling/forebygging-og-levevaner/smittevern/tuberkulose-land-med-hoy-og-saerlig-hoy-forekomst-av-tuberkulose,""7 Mar 2026"",09:55:10,1362,77.4,78"
"Anbefalinger for mat og måltider i barnehagen - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/mat-og-maltider-i-barnehagen/anbefalinger-for-mat-og-maltider-i-barnehagen,""7 Mar 2026"",02:13:54,1349,76.7,252"
"ledige stillinger - Helsedirektoratet,https://www.helsedirektoratet.no/om-oss/jobbe-i-helsedirektoratet/ledige-stillinger,""6 Mar 2026"",22:22:36,1345,86.8,48"
"Konferanser og webinar - Helsedirektoratet,https://www.helsedirektoratet.no/konferanser,""7 Mar 2026"",08:28:13,1339,84.7,67"
"Samarbeid om tjenester til barn, unge og deres familier - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/samarbeid-om-tjenester-til-barn-unge-og-deres-familier,""6 Mar 2026"",23:19:53,1314,78.9,82"
"Svangerskapsomsorgen - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/svangerskapsomsorgen,""6 Mar 2026"",21:54:33,1276,82.5,98"
"Voksne og eldre – generelle råd - Helsedirektoratet,https://www.helsedirektoratet.no/faglige-rad/fysisk-aktivitet-i-forebygging-og-behandling/voksne-og-eldre,""7 Mar 2026"",00:03:55,1225,76.6,228"
"Rekrutteringsprogram for flere ansatte i de kommunale helse- og omsorgstjenestene - Helsedirektoratet,https://www.helsedirektoratet.no/om-oss/forsoksordninger-og-prosjekter/rekrutteringsprogram-i-de-kommunale-helse-og-omsorgstjenestene,""7 Mar 2026"",04:11:37,1214,59.5,138"
"ADHD - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/adhd,""6 Mar 2026"",21:38:37,1202,86.4,68"
"Nasjonal faglig retningslinje for langvarig utmattelse, inkl. ME/CFS - Helsedirektoratet,https://www.helsedirektoratet.no/horinger/nasjonal-faglig-retningslinje-for-langvarig-utmattelse-inkl.me-cfs,""7 Mar 2026"",00:23:17,1195,78,144"
"Utmattelse – langvarig utmattelse, inkl. ME/CFS HØRINGSUTKAST - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/utmattelse-langvarig-utmattelse-inkl.me-cfs-horingsutkast,""7 Mar 2026"",00:05:17,1150,78.3,61"
"Jobbe i Helsedirektoratet - Helsedirektoratet,https://www.helsedirektoratet.no/om-oss/jobbe-i-helsedirektoratet,""6 Mar 2026"",21:48:46,1141,76.8,88"
"Pneumoni, sykehuservervet - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-sykehus/luftveisinfeksjoner-nedre/pneumoni-sykehuservervet,""7 Mar 2026"",01:53:52,1128,77.8,240"
"Legespesialiteter - Helsedirektoratet,https://www.helsedirektoratet.no/autorisasjon-og-spesialistutdanning/spesialistutdanning-og-godkjenning-for-leger/legespesialiteter,""7 Mar 2026"",03:48:35,1126,82.3,71"
"Psykiske lidelser og svekkelser (§§ 33–34) - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/forerkortveileder/psykiske-lidelser-og-svekkelser-33-34,""6 Mar 2026"",23:27:52,1110,78.2,191"
"Digitalisering og e-helse - Helsedirektoratet,https://www.helsedirektoratet.no/digitalisering-og-e-helse,""6 Mar 2026"",22:03:37,1105,85.9,55"
"Kognitiv svikt (§ 15) - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/forerkortveileder/kognitiv-svikt-15,""6 Mar 2026"",22:04:55,1100,83.3,110"
"Helseundersøkelse og helsesamtale - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/helsestasjons-og-skolehelsetjenesten/skolehelsetjenesten-520-ar/helseundersokelse-og-helsesamtale,""7 Mar 2026"",06:45:17,1093,79.9,285"
"Nevrologiske sykdommer (§§ 16–17) - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/forerkortveileder/nevrologiske-sykdommer-16-17-helsekrav-til-forerkort,""7 Mar 2026"",00:59:09,1084,80.7,166"
"Veiledning til innlogging i Helsedirektoratets tilskuddsportal - Helsedirektoratet,https://www.helsedirektoratet.no/tilskudd-og-finansiering/tilskudd/veiledning-til-innlogging-i-helsedirektoratets-tilskuddsportal,""7 Mar 2026"",03:28:17,1074,75.6,122"
"Lindrende behandling i livets sluttfase - Helsedirektoratet,https://www.helsedirektoratet.no/faglige-rad/lindrende-behandling-i-livets-sluttfase,""6 Mar 2026"",22:24:35,1064,82.2,77"
"Fornyelse av førerkort etter fylte 80 år - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/forerkortveileder/forers-ansvar-egenerklaring-meldeplikten-2-3/fornyelse-av-forerkort-etter-fylte-80-ar,""7 Mar 2026"",06:50:54,1063,87.1,48"
"Henvisning, utredning og tilbakemelding - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/adhd/henvisning-utredning-og-tilbakemelding,""6 Mar 2026"",22:47:59,1059,76.9,232"
"Helse og miljø i barnehager, skoler og skolefritidsordninger - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/helse-og-miljo-i-barnehager-skoler-skolefritidsordninger,""7 Mar 2026"",08:43:50,1027,81.6,58"
"Hjerte og karsykdommer (§§ 25–29) - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/forerkortveileder/hjerte-og-karsykdommer-25-29,""6 Mar 2026"",22:41:41,1025,82.7,163"
"Om Helsedirektoratet - Helsedirektoratet,https://www.helsedirektoratet.no/om-oss,""6 Mar 2026"",21:49:48,1013,83.5,49"
"Genitale infeksjoner - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-primaerhelsetjenesten/genitale-infeksjoner,""6 Mar 2026"",23:57:58,1007,83.8,246"
"Dosering og konsentrasjonsbestemmelse av antibiotika - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-sykehus/dosering-og-konsentrasjonsbestemmelse-av-antibiotika,""7 Mar 2026"",02:08:27,1007,78.7,148"
"Barn og unge – generelle råd - Helsedirektoratet,https://www.helsedirektoratet.no/faglige-rad/fysisk-aktivitet-i-forebygging-og-behandling/barn-og-unge,""6 Mar 2026"",23:48:45,996,77.7,224"
"Additional requirements for applicants educated outside the EU/EEA - Helsedirektoratet,https://www.helsedirektoratet.no/english/authorisation-and-license-for-health-personnel/Additional-requirements-for-applicants-educated-outside-the-EUEEA,""7 Mar 2026"",08:02:12,991,76.8,93"
"Fysisk aktivitet i forebygging og behandling - Helsedirektoratet,https://www.helsedirektoratet.no/faglige-rad/fysisk-aktivitet-i-forebygging-og-behandling,""7 Mar 2026"",06:48:18,989,81.4,66"
"Febril nøytropeni - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-sykehus/febril-noytropeni,""6 Mar 2026"",22:35:01,971,80.8,200"
"Diabetes - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/diabetes,""6 Mar 2026"",21:57:46,968,82.3,139"
"Motiverende intervju som metode - Helsedirektoratet,https://www.helsedirektoratet.no/forebygging-diagnose-og-behandling/forebygging-og-levevaner/motiverende-intervju-mi/motiverende-intervju-som-metode,""7 Mar 2026"",03:03:48,967,79.8,152"
"Psykisk helse- og rusarbeid for voksne - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/psykisk-helse-og-rusarbeid-for-voksne,""7 Mar 2026"",06:48:20,963,73.3,64"
"E-sigaretter, fordampere og e-væske - Helsedirektoratet,https://www.helsedirektoratet.no/forebygging-diagnose-og-behandling/forebygging-og-levevaner/tobakk/e-sigaretter-elektroniske-sigaretter-og-regelverk,""7 Mar 2026"",07:20:31,962,79.9,93"
"Hvem kan, og hvem kan ikke være blodgivere - Helsedirektoratet,https://www.helsedirektoratet.no/forebygging-diagnose-og-behandling/organisering-og-tjenestetilbud/blodgivning-og-transfusjonsmedisin/hvem-kan-og-hvem-kan-ikke-vaere-blodgivere,""7 Mar 2026"",10:40:53,950,78.3,75"
"Psykisk helsearbeid barn og unge - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/psykisk-helsearbeid-barn-og-unge,""6 Mar 2026"",21:56:56,945,81.6,83"
"Brukermedvirkning - Helsedirektoratet,https://www.helsedirektoratet.no/lov-og-forskrift/brukermedvirkning,""7 Mar 2026"",00:05:34,938,83.9,107"
"Diabetes (§§ 30–32) - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/forerkortveileder/diabetes-30-32,""6 Mar 2026"",21:52:09,933,82.4,147"
"Mat og måltider i barnehagen - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/mat-og-maltider-i-barnehagen,""6 Mar 2026"",21:43:16,924,83.5,59"
"Psykisk helsevern for voksne - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/prioriteringsveiledere/psykisk-helsevern-for-voksne,""6 Mar 2026"",23:02:16,916,81.6,55"
"Konsultasjoner i svangerskapsomsorgen - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/svangerskapsomsorgen/konsultasjoner-i-svangerskapsomsorgen,""7 Mar 2026"",00:11:51,913,83.7,225"
"Veiing og måling - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/helsestasjons-og-skolehelsetjenesten/helsestasjon-05-ar/veiing-og-maling,""7 Mar 2026"",01:54:45,913,80.3,224"
"Saksbehandlingstid, vedtak og klage - Helsedirektoratet,https://www.helsedirektoratet.no/autorisasjon-og-spesialistutdanning/autorisasjon-og-lisens/sok-om-autorisasjon-og-lisens/Saksbehandlingstid-vedtak-og-klage,""7 Mar 2026"",08:24:20,911,80.8,102"
"Digitalt helsekort for gravide - Helsedirektoratet,https://www.helsedirektoratet.no/digitalisering-og-e-helse/digitalt-helsekort-for-gravide,""6 Mar 2026"",22:39:19,907,69.1,69"
"Oppvekstprofiler 2026 – Ungdom og rusmidler - Helsedirektoratet,https://www.helsedirektoratet.no/konferanser/oppvekstprofiler-2026-ungdom-og-rusmidler,""6 Mar 2026"",22:30:36,902,76.9,107"
"Tannbehandling til unge voksne mellom 19 og 28 år - Helsedirektoratet,https://www.helsedirektoratet.no/lov-og-forskrift/tannhelsetjenesteloven/tannbehandling-til-unge-voksne-mellom-19-og-28-ar,""7 Mar 2026"",02:12:40,896,77.5,73"
"Kompetanse- og tjenesteutviklingstilskudd - Helsedirektoratet,https://www.helsedirektoratet.no/tilskudd-og-finansiering/tilskudd/kompetanse-og-tjenesteutviklingstilskudd,""7 Mar 2026"",00:18:00,890,68.9,114"
"Ledelse og kvalitetsforbedring i helse- og omsorgstjenesten - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/ledelse-og-kvalitetsforbedring-i-helse-og-omsorgstjenesten,""6 Mar 2026"",23:40:54,885,85.1,48"
"Lungekreft, mesoteliom og thymom – handlingsprogram - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/lungekreft-mesoteliom-og-thymom-handlingsprogram,""7 Mar 2026"",10:32:48,884,78.3,155"
"Verification of documentation issued in Pakistan - Helsedirektoratet,https://www.helsedirektoratet.no/english/authorisation-and-license-for-health-personnel/verification-of-documentation-issued-in-pakistan,""7 Mar 2026"",04:50:58,884,78,74"
"Psykisk helsevernloven med kommentarer - Helsedirektoratet,https://www.helsedirektoratet.no/rundskriv/psykisk-helsevernloven-med-kommentarer,""6 Mar 2026"",22:16:18,882,85.5,54"
"Registrering av helse- og omsorgsdata i kommunen - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/registrering-av-iplos-data-i-kommunen,""6 Mar 2026"",21:38:55,870,78.9,120"
"Skjermbruk blant barn, unge og foresatte - Helsedirektoratet,https://www.helsedirektoratet.no/faglige-rad/skjermbruk-blant-barn-unge-og-foresatte,""6 Mar 2026"",22:24:06,865,90,51"
"Spedbarnsernæring - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/spedbarnsernaering,""6 Mar 2026"",22:09:16,862,82.5,67"
"Helsedirektoratet deler ut 152 millioner i tilskudd fra Helseteknologiordningen - Helsedirektoratet,https://www.helsedirektoratet.no/nyheter/helsedirektoratet-deler-ut-152-millioner-i-tilskudd-fra-helseteknologiordningen,""7 Mar 2026"",01:58:07,859,69.2,75"
"Psykiske lidelser – voksne - Helsedirektoratet,https://www.helsedirektoratet.no/nasjonale-forlop/psykiske-lidelser-voksne,""6 Mar 2026"",21:55:05,855,86.8,53"
"ICD-10 og ICD-11 - Helsedirektoratet,https://www.helsedirektoratet.no/digitalisering-og-e-helse/helsefaglige-kodeverk/icd,""6 Mar 2026"",22:25:38,855,82.1,68"
"Utenlandsreise ved sykmelding: Pasientinformasjon - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/sykmelderveileder/pasientinformasjon/utenlandsreise-ved-sykmelding-pasientinformasjon,""7 Mar 2026"",03:05:36,854,77,102"
"Slik står det til med folkehelsen der du bor - Helsedirektoratet,https://www.helsedirektoratet.no/nyheter/slik-star-det-til-med-folkehelsen-der-du-bor,""6 Mar 2026"",22:27:46,847,68.8,91"
"Bakgrunn, metode og prosess - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/utmattelse-langvarig-utmattelse-inkl.me-cfs-horingsutkast/bakgrunn-metode-og-prosess,""7 Mar 2026"",03:50:46,843,76.8,176"
"Legemiddelhåndtering - Helsedirektoratet,https://www.helsedirektoratet.no/rundskriv/legemiddelhandtering,""6 Mar 2026"",22:08:41,840,85.8,55"
"Helse- og omsorgstjenesteloven med kommentarer - Helsedirektoratet,https://www.helsedirektoratet.no/rundskriv/helse-og-omsorgstjenesteloven-med-kommentarer,""6 Mar 2026"",22:37:33,840,78.4,73"
"Førers ansvar, egenerklæring, meldeplikten (§§ 2–3) - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/forerkortveileder/forers-ansvar-egenerklaring-meldeplikten-2-3,""7 Mar 2026"",00:03:05,840,78.6,126"
"Selvmordsforebygging i psykisk helsevern og tverrfaglig spesialisert rusbehandling (TSB) - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/selvmordsforebygging-i-psykisk-helsevern-og-tsb,""6 Mar 2026"",23:07:12,825,77.9,63"
"Demens - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/demens,""6 Mar 2026"",22:07:38,819,81.8,120"
"Nyheter - Helsedirektoratet,https://www.helsedirektoratet.no/nyheter,""6 Mar 2026"",21:42:36,815,84.2,262"
"Kunnskapsprøve i alkoholloven - Helsedirektoratet,https://www.helsedirektoratet.no/forebygging-diagnose-og-behandling/forebygging-og-levevaner/alkohol/kunnskapsprove-i-alkoholloven,""6 Mar 2026"",23:53:45,812,82.1,82"
"Rettssikkerhet ved bruk av tvang og makt overfor enkelte personer med psykisk utviklingshemming - helse- og omsorgstjenesteloven kapittel 9 - Helsedirektoratet,https://www.helsedirektoratet.no/rundskriv/rettssikkerhet-ved-bruk-av-tvang-og-makt-overfor-enkelte-personer-med-psykisk-utviklingshemming,""7 Mar 2026"",05:12:14,798,84.2,50"
"Forebygging av hjerte- og karsykdom - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/forebygging-av-hjerte-og-karsykdom,""6 Mar 2026"",22:20:41,797,82.6,79"
"Helsekort for gravide, veiledning og oversikt over innhold i konsultasjonene - Helsedirektoratet,https://www.helsedirektoratet.no/brosjyrer/helsekort-for-gravide,""6 Mar 2026"",21:56:21,796,78.8,68"
"Webinar om tilskuddsordningen Aktivitetstiltak for eldre - Helsedirektoratet,https://www.helsedirektoratet.no/konferanser/webinar-om-tilskuddsordningen-aktivitetstiltak-for-eldre,""6 Mar 2026"",23:42:30,791,78.6,78"
"Om utredning av voksne - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/adhd/henvisning-utredning-og-tilbakemelding/om-utredning-av-voksne,""7 Mar 2026"",01:05:34,786,80.5,147"
"Helseundersøkelse, helseattest, søkers informasjonsplikt og dispensasjon (§§ 4–8) - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/forerkortveileder/helseundersokelse-helseattest-sokers-informasjonsplikt-og-dispensasjon-4-8,""7 Mar 2026"",04:29:18,781,75,202"
"Nasjonale kvalitetsindikatorer - Helsedirektoratet,https://www.helsedirektoratet.no/statistikk/kvalitetsindikatorer,""7 Mar 2026"",08:03:59,777,76.1,94"
